,Px,Py,Pz,Qx,Qy,Qz
0,-0.2,-0.25,1.045,-0.2,0.25,1.045
1,-0.19526643990929707,-0.25,1.0474780328798186,-0.19526643990929707,0.25,1.0474780328798186
2,-0.19058956916099773,-0.24999999999999997,1.049912131519274,-0.19058956916099773,0.24999999999999997,1.049912131519274
3,-0.18596938775510208,-0.25,1.0523022959183672,-0.18596938775510208,0.25,1.0523022959183672
4,-0.18140589569160998,-0.25,1.0546485260770975,-0.18140589569160998,0.25,1.0546485260770975
5,-0.17689909297052153,-0.24999999999999997,1.0569508219954646,-0.17689909297052153,0.24999999999999997,1.0569508219954646
6,-0.17244897959183675,-0.25,1.0592091836734694,-0.17244897959183675,0.25,1.0592091836734694
7,-0.16805555555555554,-0.24999999999999997,1.061423611111111,-0.16805555555555554,0.24999999999999997,1.061423611111111
8,-0.16371882086167802,-0.25,1.0635941043083899,-0.16371882086167802,0.25,1.0635941043083899
9,-0.1594387755102041,-0.25,1.065720663265306,-0.1594387755102041,0.25,1.065720663265306
10,-0.1552154195011338,-0.24999999999999997,1.0678032879818593,-0.1552154195011338,0.24999999999999997,1.0678032879818593
11,-0.15104875283446714,-0.25,1.0698419784580495,-0.15104875283446714,0.25,1.0698419784580495
12,-0.14693877551020412,-0.25000000000000006,1.0718367346938777,-0.14693877551020412,0.25000000000000006,1.0718367346938777
13,-0.14288548752834468,-0.25,1.0737875566893424,-0.14288548752834468,0.25,1.0737875566893424
14,-0.13888888888888892,-0.25,1.0756944444444443,-0.13888888888888892,0.25,1.0756944444444443
15,-0.13494897959183672,-0.24999999999999997,1.0775573979591835,-0.13494897959183672,0.24999999999999997,1.0775573979591835
16,-0.13106575963718822,-0.25,1.07937641723356,-0.13106575963718822,0.25,1.07937641723356
17,-0.12723922902494333,-0.25000000000000006,1.0811515022675737,-0.12723922902494333,0.25000000000000006,1.0811515022675737
18,-0.12346938775510204,-0.25,1.0828826530612246,-0.12346938775510204,0.25,1.0828826530612246
19,-0.11975623582766443,-0.25,1.0845698696145125,-0.11975623582766443,0.25,1.0845698696145125
20,-0.11609977324263038,-0.24999999999999994,1.0862131519274374,-0.11609977324263038,0.24999999999999994,1.0862131519274374
21,-0.1125,-0.25,1.0878125,-0.1125,0.25,1.0878125
22,-0.10895691609977326,-0.25,1.0893679138321994,-0.10895691609977326,0.25,1.0893679138321994
23,-0.10547052154195014,-0.25000000000000006,1.0908793934240364,-0.10547052154195014,0.25000000000000006,1.0908793934240364
24,-0.10204081632653061,-0.25,1.09234693877551,-0.10204081632653061,0.25,1.09234693877551
25,-0.09866780045351473,-0.24999999999999997,1.093770549886621,-0.09866780045351473,0.24999999999999997,1.093770549886621
26,-0.0953514739229025,-0.25,1.0951502267573696,-0.0953514739229025,0.25,1.0951502267573696
27,-0.0920918367346939,-0.24999999999999997,1.0964859693877549,-0.0920918367346939,0.24999999999999997,1.0964859693877549
28,-0.0888888888888889,-0.25000000000000006,1.0977777777777777,-0.0888888888888889,0.25000000000000006,1.0977777777777777
29,-0.08574263038548753,-0.25,1.0990256519274375,-0.08574263038548753,0.25,1.0990256519274375
30,-0.08265306122448982,-0.25,1.1002295918367346,-0.08265306122448982,0.25,1.1002295918367346
31,-0.07962018140589569,-0.24999999999999997,1.1013895975056687,-0.07962018140589569,0.24999999999999997,1.1013895975056687
32,-0.07664399092970522,-0.25,1.1025056689342403,-0.07664399092970522,0.25,1.1025056689342403
33,-0.07372448979591838,-0.25,1.103577806122449,-0.07372448979591838,0.25,1.103577806122449
34,-0.07086167800453515,-0.25,1.1046060090702947,-0.07086167800453515,0.25,1.1046060090702947
